month_day_hour_min;n_p;i_uiip;p_uiip;truth
813;0.1;238.76;21.42;0
814;0.1;244.66;21.48;0
815;0.1;239.99;21.4;0
816;0.1;235.34;21.37;0
817;0.1;250.92;22.19;0
818;0.1;232.87;22.29;0
819;0.1;222.28;21.77;0
820;0.1;239.41;21.62;0
821;0.1;228.55;21.7;0
822;0.1;206.89;21.43;0
823;0.1;212.67;21.14;0
824;0.1;211.03;21.03;0
825;0.1;216.53;21.06;0
826;0.1;200.78;20.77;0
827;0.1;197.93;20.69;0
828;0.1;203.78;20.92;0
829;0.1;198.6;21.27;0
830;0.1;173.66;20.83;0
831;0.1;182.09;20.84;0
832;0.1;171.27;20.49;0
833;0.1;184.8;20.12;0
834;0.1;170.05;20.1;0
835;0.1;184.38;20.25;0
836;0.1;186.76;20.08;0
837;0.1;177.51;20.22;0
838;0.1;169.93;20.07;0
839;0.1;187.12;20.64;0
840;0.1;173.79;20.53;0
841;0.1;173.59;20.52;0
842;0.1;191.85;20.73;0
843;0.1;184.97;20.69;0
844;0.1;175.58;20.79;0
845;0.1;183.25;20.61;0
846;0.1;175.6;20.69;0
847;0.1;178.8;20.69;0
848;0.1;177.93;20.54;0
849;0.1;185.48;20.75;0
850;0.1;172.87;20.78;0
851;0.1;176.16;20.75;0
852;0.1;179.42;20.68;0
853;0.1;182.35;20.56;0
854;0.1;173.54;20.63;0
855;0.1;163.22;20.02;0
856;0.1;187.25;19.81;0
857;0.1;184.73;20.12;0
858;0.1;175.94;20;0
859;0.1;179.24;20.1;0
860;0.1;159.07;16.56;0
861;0.1;178.68;16.56;0
862;0.1;160.46;16.61;0
863;0.1;158.14;16.63;0
864;0.1;167.85;16.49;0
