month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
1,7,23,45,2.11,384.69,0,0.1,150.38,16.57,230.4,33,370.47,0,52.89
1,8,4,0,3.09,464.84,0,0.1,138.83,16.71,259,34.58,357.93,0,54.27
1,8,5,45,3.38,244.3,0,0.1,141.39,19.44,247.8,33.65,193.47,0,52.16
1,8,6,15,3.44,164.63,0,0.1,163.83,20.81,254.27,33.12,174,0,51.37
1,8,6,45,3.46,89.79,0,0.1,161.46,20.62,253.93,33.15,130.73,26.11,51.51
1,8,8,15,3.32,0,350.74,0.1,269.32,21.7,258.47,31.04,3.53,26.21,49.01
1,8,8,30,3.26,0,406.25,0.1,288.11,22.13,257,30.31,3.33,24.98,48.05
1,8,9,0,3.12,0,380.74,0.1,280.76,21.67,253.27,30.53,3.53,24.58,48.41
1,8,9,30,2.99,0,432,0.1,310.97,21.78,255.13,30.36,3.47,24.67,48.24
1,8,11,0,2.58,0,339.93,0.1,279.65,22.19,253.27,30.5,3.73,24.96,48.32
1,8,12,15,2.27,0,363.72,0.1,250.29,22.26,249.67,30.31,3.47,25.69,47.86
1,8,13,15,2.05,0,306.33,0.1,229.57,21.69,251.07,30.17,3.67,25.84,47.95
1,8,18,45,1.82,151.95,0,0.1,199.06,20.73,251.87,31.45,346.2,25.26,51.08
1,8,20,30,1.89,185.33,0,0.1,188.93,20.63,253.07,31.39,380.87,25.69,51.56
1,9,0,30,2.43,434.37,0,0.1,143.88,16.6,255.67,33.94,362.6,0,53.74
1,9,3,30,3.14,437.74,0,0.1,125.43,16.59,247.73,34.59,355.53,0,54.41
1,9,4,15,3.27,356.97,0,0.1,126.5,16.78,258.27,33.69,193.2,0,52.2
1,9,5,45,3.48,282.99,0,0.1,127.57,18.79,247.2,33.44,193.2,0,52.05
1,9,7,15,3.59,57.37,1.25,0.1,137.26,20.16,252.6,33.33,132.4,24.55,51.56
1,9,9,45,3.17,0,409.86,0.1,256.78,21.39,264.47,30.52,3.53,23.91,48.47
