num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
267,1.9,93.08,0,0.101,178.78,20.1,258.6,31.69,284.13,25.36,50.56,262,0
268,1.91,88.5,0,0.1,167.5,20.26,259.13,31.6,285.27,25.12,50.59,263,0
269,1.91,46.26,0,0.101,177.5,20.01,256.87,31.77,287.67,26.04,50.51,264,0
270,1.91,53.48,0,0.101,184.95,20.14,261.33,31.4,286.13,24.59,50.41,265,0
271,1.91,76.87,0,0.1,176.7,20.1,259.47,31.53,285.53,26.09,50.56,266,0
272,1.92,69.16,0,0.1,180.38,20.24,258.13,31.63,286.73,25.67,50.63,267,0
273,1.92,26.09,1.06,0.1,175.64,20.24,260.2,31.42,288.8,25.76,50.41,268,0
274,1.92,24.11,0,0.1,192.7,20,255.13,31.59,285.33,25.64,50.75,269,0
275,1.91,5.31,12.73,0.101,200.96,20.14,256.33,31.41,288.87,25.98,50.44,270,0
276,1.91,8.49,6.17,0.1,197.07,20.26,258.87,31.58,286.27,26.75,50.54,271,0
277,1.9,5.01,11.09,0.1,192.89,20.24,262.93,31.25,289.87,24.61,50.41,272,0
278,1.89,5.93,9.65,0.101,195.26,19.8,258.07,31.67,287.4,25.24,50.65,273,0
279,1.89,18.18,5.45,0.1,203.78,19.92,257.87,31.65,288.07,25.91,50.66,274,0
280,1.88,48.73,0,0.1,176.62,20.2,258.73,31.59,286.07,25.32,50.63,275,0
281,1.88,87.57,0,0.101,181.37,20.05,254.67,31.87,288.73,5.46,50.66,276,0
282,1.89,105.27,0,0.103,185.74,20.29,258,31.64,286.47,0.27,50.69,277,0
283,1.9,218.07,0,0.101,174.27,20.1,256.6,31.8,350.47,0.06,51.52,278,0
284,1.92,262.25,0,0.101,168.37,20.14,253.47,32.02,352.47,0,51.7,279,0
285,1.94,250.73,0,0.101,186.89,20.38,254,31.98,352.8,0,51.8,280,0
286,1.97,265.77,0,0.101,188.06,20.19,252.93,32.05,350.47,0,51.82,281,0
287,2,308.73,0,0.1,185.04,20.23,247.73,32.48,347.53,0,52.1,282,0
288,2.04,327.05,0,0.1,176.78,20.2,246.6,32.54,345.2,0,52.3,283,0
289,2.07,342.35,0,0.1,147.95,16.71,243.8,32.81,371.27,0,52.76,284,0
290,2.12,352.29,0,0.1,150.5,16.55,241.87,32.95,369.93,0,52.85,285,0
291,2.16,403.13,0,0.101,150.21,16.74,240.27,33.08,368.8,0,53.01,286,0
292,2.21,415.52,0,0.101,137.99,16.62,239.73,33.2,365.4,0,53.23,287,0
