month,day,hour,min,i_uiip,i_f,i_uiipu,truth
1,24,17,0,192.97,227.2,380.67,0
1,24,18,0,197,228.2,381.4,0
1,24,18,15,90.19,228.13,371.87,0
1,24,19,15,38.48,231.33,343.13,0
1,24,21,30,139.11,249.6,274.13,0
1,24,22,15,137.63,245.13,270.6,0
1,24,23,45,301.57,229.13,319.8,0
1,25,1,45,331.97,228.4,322,0
1,25,6,0,203.6,237.53,367.33,0
1,25,7,30,69.5,250.4,71.2,0
1,25,7,45,70.39,224.87,71.27,0
1,25,8,30,66.62,229.67,67.47,0
1,25,11,15,117.34,214.07,288.87,0
1,25,11,30,117.77,209.6,302.93,0
1,25,11,45,122.08,212.2,325.07,0
1,25,12,0,111.23,235.8,321.13,0
1,25,12,15,109.49,246,321.2,0
1,25,14,0,163.55,250.67,205.27,0
1,25,14,30,157.47,246.07,202.93,0
1,25,16,30,166.63,225.27,202.87,0
1,25,18,15,37.13,240.93,38,0
1,25,19,0,37.02,244.13,37.6,0
1,25,19,15,48.83,237.27,90.27,0
1,25,20,15,227.09,252.4,380.6,0
1,25,21,0,209.28,240.4,379.13,0
1,25,23,0,338.32,225,345.2,0
1,25,23,30,364.57,225.07,300.47,0
1,26,0,30,392.1,225.73,259.93,0
1,26,0,45,387.29,227.13,251,0
1,26,4,30,445.06,219.47,366.67,0
1,26,5,15,434.55,295.33,322.13,0
1,26,5,45,247.43,299.4,349.27,0
1,26,6,30,124.28,245.2,212.2,0
1,26,6,45,75.08,256.67,76.33,0
1,26,7,0,76.37,259.4,77,0
1,26,7,15,75.81,251.93,76,0
1,26,10,45,0,0,0,0
1,26,12,30,0,0,0,0
1,26,13,45,0,0,0,0
1,26,14,30,0,0,0,0
1,26,14,45,0,0,0,0
1,26,15,30,0,0,0,0
1,26,16,0,0,0,0,0
1,26,17,30,0,0,0,0
1,26,18,15,0,0,0,0
1,26,20,15,0,0,0,0
1,26,20,45,0,0,0,0
1,27,1,15,0,0,0,0
1,27,3,45,0,0,0,0
1,27,4,45,0,0,0,0
1,27,5,45,0,0,0,0
1,27,6,15,0,0,0,0
1,27,6,30,0,0,0,0
1,27,6,45,0,0,0,0
1,27,7,0,0,0,0,0
1,27,7,45,0,0,0,0
1,27,8,45,0,0,0,0
1,27,12,15,0,0,0,0
1,27,17,0,0,0,0,0
1,27,18,15,0,0,0,0
1,27,18,45,0,0,0,0
1,27,19,0,0,0,0,0
1,27,21,45,0,0,0,0
1,28,0,30,0,0,0,0
1,28,0,45,0,0,0,0
1,28,4,0,0,0,0,0
1,28,4,15,0,0,0,0
1,28,10,45,0,0,0,0
1,28,12,0,0,0,0,0
1,28,14,30,0,0,0,0
1,28,17,15,0,0,0,0
1,28,19,0,0,0,0,0
1,28,19,15,0,0,0,0
1,28,22,45,0,0,0,0
1,28,23,0,0,0,0,0
1,29,0,0,0,0,0,0
1,29,2,45,0,0,0,0
1,29,3,15,0,0,0,0
1,29,4,0,0,0,0,0
1,29,4,15,0,0,0,0
1,29,4,30,0,0,0,0
1,29,6,45,0,0,0,0
1,29,7,15,0,0,0,0
1,29,7,30,0,0,0,0
1,29,8,0,0,0,0,0
1,29,8,15,0,0,0,0
1,29,11,30,0,0,0,0
1,29,12,30,0,0,0,0
1,29,14,30,0,0,0,0
1,29,15,15,0,0,0,0
1,29,17,0,0,0,0,0
1,29,17,30,0,0,0,0
1,29,19,30,0,0,0,0
1,29,21,45,0,0,0,0
1,29,22,0,0,0,0,0
1,29,23,0,0,0,0,0
1,30,2,0,0,0,0,0
1,30,3,15,0,0,0,0
1,30,4,0,0,0,0,0
1,30,4,30,0,0,0,0
1,30,5,30,0,0,0,0
1,30,6,0,0,0,0,0
1,30,6,30,0,0,0,0
1,30,8,0,0,0,0,0
1,30,8,45,0,0,0,0
1,30,9,0,0,0,0,0
1,30,9,30,0,0,0,0
1,30,9,45,0,0,0,0
1,30,11,30,0,0,0,0
1,30,12,0,0,0,0,0
1,30,12,15,0,0,0,0
1,30,13,15,0,0,0,0
1,30,14,30,0,0,0,0
1,30,15,30,0,0,0,0
1,30,15,45,0,0,0,0
1,30,17,15,0,0,0,0
1,30,19,30,0,0,0,0
1,30,20,30,0,0,0,0
1,30,22,30,0,0,0,0
1,30,23,15,0,0,0,0
1,31,0,45,0,0,0,0
1,31,3,0,0,0,0,0
1,31,4,0,0,0,0,0
1,31,5,0,0,0,0,0
1,31,6,0,0,0,0,0
1,31,8,15,0,0,0,0
1,31,8,30,0,0,0,0
1,31,9,0,0,0,0,0
1,31,9,15,0,0,0,0
1,31,11,45,0,0,0,0
1,31,12,15,0,0,0,0
1,31,13,15,0,0,0,0
1,31,13,45,0,0,0,0
1,31,14,0,0,0,0,0
1,31,15,30,0,0,0,0
1,31,17,0,0,0,0,0
1,31,17,30,0,0,0,0
1,31,17,45,0,0,0,0
1,31,18,0,0,0,0,0
1,31,19,0,0,0,0,0
1,31,20,30,0,0,0,0
1,31,23,15,0,0,0,0
2,1,1,0,0,0,0,0
2,1,4,0,0,0,0,0
2,1,4,15,0,0,0,0
2,1,5,30,0,0,0,0
2,1,9,45,0,0,0,0
2,1,11,30,0,0,0,0
2,1,13,30,0,0,0,0
2,1,14,45,0,0,0,0
2,1,15,0,0,0,0,0
2,1,15,30,0,0,0,0
2,1,15,45,0,0,0,0
2,1,16,15,0,0,0,1
2,1,16,30,0,0,0,0
2,1,17,0,0,0,0,0
2,1,19,0,0,0,0,0
2,1,20,0,0,0,0,0
2,1,21,15,0,0,0,0
2,1,22,0,0,0,0,0
2,2,0,0,0,0,0,0
2,2,1,15,0,0,0,0
2,2,2,45,0,0,0,0
2,2,4,0,0,0,0,0
2,2,5,0,0,0,0,0
2,2,5,15,0,0,0,0
2,2,6,30,0,0,0,0
2,2,6,45,0,0,0,0
2,2,7,15,0,0,0,0
2,2,7,45,0,0,0,0
