i_uiip,i_f,i_uiipu,truth
147.95,240.67,377.6,0
166.61,240.27,374.47,0
153.44,232,375.27,0
175.33,229.33,372.87,0
389.37,224.67,258.33,0
410.35,227.4,256.73,0
405.54,229.93,259.33,0
407.63,238.47,257.33,0
412.34,241,258.2,0
412.87,232.93,254.6,0
159.33,284.47,320.93,0
79.02,233.33,79.13,0
104.37,237.53,255.07,0
117.89,241.8,378.27,0
129.64,243.2,376.73,0
158.95,225.27,376.13,0
192.88,219.67,377.53,0
104.14,260,104.6,0
104.9,264.53,105.87,0
102.64,247.2,103.27,0
170.6,223.07,375.2,0
167.29,218.4,375.53,0
154.5,213.47,375.33,0
395.13,209.07,335.8,0
379.16,214.6,261.87,0
392.64,215.13,261.07,0
387.72,260,247.4,0
381.11,255.13,358.4,0
386.87,254,358.73,0
342.81,259.2,362.6,0
146.42,267.6,376.33,0
67.42,232.13,67.73,0
66.65,231.07,67,0
66.52,225.93,66.8,0
65.55,230.6,66,0
66.1,230.6,66.33,0
67.7,230.13,68.4,0
181,239.53,378.4,0
171.87,244.2,377.33,0
165.05,240.4,375.93,0
162.04,239.8,376.47,0
163.42,240.67,374.73,0
161.49,242.13,375.13,0
108.66,265.47,109.2,0
109.09,264.87,109.87,0
109.4,263.33,109.73,0
190.73,232.27,378.27,0
181.26,228.33,376,0
167.22,225.8,373.67,0
387.87,235.13,258.93,0
384.52,232.8,257,0
388.37,234.07,258.8,0
393.18,232.67,254.47,0
401.98,237.13,256.07,0
390.05,231.07,254.33,0
369.44,229.73,298.93,0
362.66,231.4,299.13,0
44.65,234.13,45.53,0
43.23,245.93,43.8,0
43.06,250.13,43.8,0
151.8,251.4,376.53,0
159.38,257.27,376.67,0
137.56,242.6,375.87,0
175.74,237.53,373.6,0
132.27,252.07,105.73,0
149.76,212.8,380.13,0
177.24,222.6,375.07,0
194.52,226.27,375.93,0
381.4,238.67,252.73,0
369.93,234.87,278.53,0
371.76,237.47,196.67,0
381.67,238,198.27,0
367.21,243,322.6,0
91.35,247.93,309.67,0
150.22,246.93,331.53,0
86.37,220.73,53.67,0
48.17,248.2,48.6,0
48.03,248.27,48.33,0
153.97,244.4,366.27,0
172.61,238.2,365.27,0
188.68,237.6,335.07,0
184.99,241.4,286,0
79.88,253.2,79.93,0
78.58,259.07,79.33,0
78.29,258.87,79.33,0
166.89,257.87,76.33,0
199.59,261.93,137.67,0
197.38,261,138,0
193.65,250.73,84,0
362.38,241.6,270.67,0
348.72,232.67,328,0
186.86,243.33,179.6,0
83.55,260.33,84.2,0
83.29,259.53,83.87,0
84.11,258.2,84.73,0
153.92,220.33,376.47,0
144.77,220.93,375.13,0
110.78,219.6,374.73,0
101.91,240.67,376.47,0
150.88,236.07,369.4,0
180.6,258.6,370.07,0
200.82,248.2,201.27,0
199,248.53,199.13,0
203.07,217.4,377.13,0
371.76,257.93,366.93,0
385.82,237.27,292.2,0
372.12,235,269.67,0
385.18,237.87,271.27,0
83.06,260,83.53,0
78.48,265.53,79.13,0
111.52,233.4,377.73,0
140.44,256.27,377.87,0
138.75,252.6,376.13,0
218.92,255.93,376.53,0
92.08,252,352.47,0
95.41,253.53,353.07,0
236.47,249.53,378.8,0
188.37,261.6,189.4,0
