month,day,hour,min,i_f,p_f,truth
1,8,20,0,248.27,31.73,0
1,8,20,15,247.73,31.79,0
1,8,20,30,253.07,31.39,0
1,8,20,45,247.47,31.83,0
1,8,21,0,243.27,32.13,0
1,8,21,15,245.87,31.97,0
1,8,21,30,244.8,32.1,0
1,8,21,45,244.4,32.07,0
1,8,22,0,245.27,32.03,0
1,8,22,15,242.27,32.24,0
1,8,22,30,242.27,32.24,0
1,8,22,45,240.53,32.4,0
1,8,23,0,238.2,32.61,0
1,8,23,15,235.93,32.73,0
1,8,23,30,234.73,32.88,0
1,8,23,45,231.33,33.14,0
1,9,0,0,243.2,33.31,0
1,9,0,15,257.47,33.82,0
1,9,0,30,255.67,33.94,0
1,9,0,45,258.13,33.79,0
1,9,1,0,254.6,34.03,0
1,9,1,15,253.47,34.15,0
1,9,1,30,255.07,34.03,0
1,9,1,45,254.8,34.02,0
