month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,6,5,45,196.87,0,51.75,0
1,6,6,0,193.87,0,52.12,0
1,6,6,15,170.87,0,51.64,0
1,6,6,30,136.93,18.71,51.27,0
1,6,6,45,150.93,26.28,51.73,0
1,6,7,0,152.07,24.94,51.25,0
1,6,7,15,152.07,25.43,51.44,0
1,6,7,30,112.13,25.44,51.1,0
1,6,7,45,91,25.71,50.81,0
1,6,8,0,94.27,24.84,50.66,0
1,6,8,15,86.87,26.89,50.29,0
1,6,8,30,47.73,26.06,49.41,0
1,6,8,45,3.53,26.13,49,0
1,6,9,0,3.4,25.24,48.99,0
1,6,9,15,3.27,24.97,48.52,0
1,6,9,30,3.67,25.34,48.06,0
1,6,9,45,3.33,26.31,47.44,0
1,6,10,0,3.53,26.13,47.41,0
1,6,10,15,3.6,23.96,47.28,0
1,6,10,30,3.8,26.11,47.38,0
1,6,10,45,3.33,24.66,47.33,0
1,6,11,0,3.33,24.71,47.37,0
1,6,11,15,29.87,25.85,48.05,0
1,6,11,30,114.13,25.44,48.63,0
1,6,11,45,106.2,26.17,48.75,0
1,6,12,0,107.07,25.13,48.67,0
1,6,12,15,117.2,25.11,49.03,0
1,6,12,30,137.47,26.01,49.44,0
1,6,12,45,143.33,25.78,49.31,0
1,6,13,0,143.53,25.15,49.44,0
1,6,13,15,140.53,25.35,49.69,0
1,6,13,30,134,25.15,49.65,0
1,6,13,45,106,25.9,49.52,0
1,6,14,0,98.73,26,49.54,0
1,6,14,15,101.8,25.78,49.46,0
1,6,14,30,98.73,25.78,49.55,0
1,6,14,45,101.87,25.11,49.46,0
1,6,15,0,99.53,24.73,49.41,0
1,6,15,15,99.8,24.87,49.52,0
1,6,15,30,100.87,26.03,49.46,0
1,6,15,45,101.53,24.51,49.24,0
1,6,16,0,98.4,24.95,49.7,0
1,6,16,15,101.27,26.16,49.51,0
1,6,16,30,101.53,25.98,49.63,0
1,6,16,45,104.27,25.19,49.39,0
1,6,17,0,132.47,25.7,49.8,0
1,6,17,15,262,24.74,50.83,0
1,6,17,30,295.33,25.09,50.33,0
1,6,17,45,287.13,26.55,50.56,0
1,6,18,0,284.8,25.28,50.54,0
1,6,18,15,285.93,25.44,50.54,0
1,6,18,30,286,25.74,50.61,0
1,6,18,45,285.6,25.31,50.58,0
1,6,19,0,282.73,25.28,50.63,0
1,6,19,15,286.93,25.22,50.7,0
1,6,19,30,303.2,24.85,50.73,0
1,6,19,45,304.13,26.34,50.88,0
1,6,20,0,303.67,25.54,50.8,0
1,6,20,15,306.2,25.13,50.65,0
1,6,20,30,323.67,26.33,50.74,0
1,6,20,45,330.73,25.23,51.29,0
1,6,21,0,357,6.56,51.75,0
1,6,21,15,356.8,0.28,51.9,0
1,6,21,30,356.33,0.07,51.99,0
1,6,21,45,355.53,0,51.95,0
1,6,22,0,358.2,0,52.41,0
1,6,22,15,377.13,0,52.65,0
1,6,22,30,376.13,0,52.65,0
1,6,22,45,374.27,0,52.75,0
1,6,23,0,372.93,0,52.88,0
1,6,23,15,372.73,0,52.9,0
1,6,23,30,371.67,0,53.16,0
1,6,23,45,370.6,0,53.13,0
1,7,0,0,370.27,0,53.2,0
1,7,0,15,370.6,0,53.22,0
1,7,0,30,366.8,0,53.44,0
1,7,0,45,365.93,0,53.41,0
1,7,1,0,365.8,0,53.32,0
1,7,1,15,367.2,0,53.27,0
1,7,1,30,365.8,0,53.33,0
1,7,1,45,362.67,0,53.67,0
1,7,2,0,366.2,0,53.26,0
1,7,2,15,367.2,0,53.15,0
1,7,2,30,364.07,0,53.52,0
1,7,2,45,363.67,0,53.59,0
1,7,3,0,362.93,0,53.61,0
1,7,3,15,361.6,0,53.66,0
1,7,3,30,361.93,0,53.69,0
1,7,3,45,361.47,0,53.76,0
1,7,4,0,362.6,0,53.7,0
1,7,4,15,361.2,0,53.98,0
1,7,4,30,195.47,0,51.61,0
1,7,4,45,126.4,0,51.47,0
1,7,5,0,128.13,0,50.98,0
1,7,5,15,126.87,0,51.25,0
1,7,5,30,127,0,51.34,0
1,7,5,45,127.53,0,51.22,0
1,7,6,0,127.8,0,51.16,0
1,7,6,15,97.2,0,51.01,0
1,7,6,30,86.93,18.73,50.71,0
1,7,6,45,86.33,25.22,50.88,0
1,7,7,0,89.87,26.75,50.62,0
1,7,7,15,56.73,25.37,50.01,0
1,7,7,30,2.93,24.97,49.44,0
1,7,7,45,3.2,27.01,49.16,0
1,7,8,0,3.33,25.18,49.17,0
1,7,8,15,3.4,27.03,48.99,0
1,7,8,30,3.87,24.95,48.51,0
1,7,8,45,3.8,25.95,48.68,0
1,7,9,0,3.33,25.2,48.33,0
1,7,9,15,3.33,25.82,48.32,0
1,7,9,30,3.67,25.69,48.01,0
1,7,9,45,3.6,25.12,48.29,0
1,7,10,0,3.73,25.69,47.84,0
1,7,10,15,3.6,26.44,47.93,0
1,7,10,30,3.4,25.72,48.22,0
1,7,10,45,3.8,25.46,48.22,0
1,7,11,0,4.2,24.63,48.14,0
1,7,11,15,3.47,24.86,48.22,0
1,7,11,30,3.6,25.79,47.78,0
1,7,11,45,4,24.6,47.97,0
1,7,12,0,3.67,26.39,48.22,0
1,7,12,15,75.4,25.02,48.96,0
1,7,12,30,124.73,25.64,48.82,0
1,7,12,45,114.47,25.35,49.12,0
1,7,13,0,107.87,24.47,48.9,0
1,7,13,15,96.53,26.04,48.8,0
1,7,13,30,93.73,25.07,48.95,0
1,7,13,45,96.6,25.1,48.69,0
1,7,14,0,96.87,24.78,48.82,0
1,7,14,15,95.47,26.5,48.74,0
1,7,14,30,95.13,25.99,48.8,0
1,7,14,45,95.6,25.96,48.86,0
1,7,15,0,92.27,25.15,49.11,0
1,7,15,15,93.93,25.96,48.96,0
1,7,15,30,93.67,25.1,48.96,0
1,7,15,45,171.93,25.84,49.99,0
1,7,16,0,309,25.1,50.61,0
1,7,16,15,309,25.5,50.4,0
1,7,16,30,308.33,25,50.65,0
1,7,16,45,308.93,24.58,50.52,0
1,7,17,0,310.33,26.3,50.59,0
1,7,17,15,308.87,24.9,50.69,0
1,7,17,30,310.07,25.76,50.64,0
1,7,17,45,307.87,26.23,50.68,0
1,7,18,0,310.2,25.59,50.52,0
1,7,18,15,311.87,24.83,50.66,0
1,7,18,30,340.13,25.06,51.14,0
1,7,18,45,354.2,26.31,51.01,0
1,7,19,0,352.93,25,51.16,0
1,7,19,15,352.93,26.31,51.2,0
