id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
143,end_device_ids.device_id,0,0,0.279296875,0.50,0.50,0.50,0.51,0.49,0.49,0.50,0.51,0.48,0.51,0.49,0.49,0.50,0.50,0.49,0.50,0.49,0.50,0.51,0.48,0.49,0.49,0.51,0.49,0.49,12.41,0.50,false
144,end_device_ids.device_id,0.07142857142857142,0,0.28125,0.51,0.51,0.53,0.51,0.51,0.52,0.51,0.52,0.51,0.52,0.52,0.51,0.52,0.53,0.51,0.49,0.50,0.53,0.52,0.53,0.52,0.52,0.51,0.52,0.52,12.90,0.52,false
145,end_device_ids.device_id,0.14285714285714285,0,0.283203125,0.49,0.49,0.49,0.49,0.47,0.49,0.50,0.48,0.49,0.49,0.47,0.48,0.47,0.47,0.50,0.49,0.49,0.50,0.47,0.49,0.47,0.49,0.48,0.49,0.49,12.13,0.49,false
146,end_device_ids.device_id,0.21428571428571427,0,0.28515625,0.44,0.46,0.45,0.47,0.44,0.45,0.45,0.46,0.47,0.45,0.45,0.46,0.44,0.45,0.45,0.46,0.46,0.45,0.43,0.47,0.45,0.47,0.44,0.46,0.47,11.35,0.45,false
147,end_device_ids.device_id,0.2857142857142857,0,0.287109375,0.40,0.39,0.40,0.39,0.38,0.39,0.39,0.38,0.40,0.38,0.40,0.39,0.39,0.41,0.38,0.38,0.40,0.40,0.40,0.39,0.40,0.38,0.40,0.40,0.39,9.81,0.39,false
148,end_device_ids.device_id,0.35714285714285715,0,0.2890625,0.38,0.37,0.37,0.37,0.36,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.36,0.38,0.36,0.37,0.39,0.37,9.30,0.37,false
149,end_device_ids.device_id,0.42857142857142855,0,0.291015625,0.51,0.49,0.48,0.49,0.48,0.50,0.49,0.47,0.50,0.47,0.51,0.51,0.49,0.50,0.49,0.49,0.50,0.48,0.48,0.51,0.49,0.50,0.49,0.49,0.48,12.29,0.49,false
150,end_device_ids.device_id,0.5,0,0.29296875,0.39,0.39,0.40,0.40,0.39,0.40,0.38,0.39,0.40,0.38,0.40,0.38,0.40,0.39,0.39,0.40,0.40,0.39,0.39,0.40,0.37,0.38,0.40,0.39,0.38,9.78,0.39,false
151,end_device_ids.device_id,0.5714285714285714,0,0.294921875,0.38,0.37,0.39,0.38,0.37,0.37,0.37,0.37,0.39,0.37,0.37,0.37,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.37,0.37,0.36,0.38,0.38,0.37,9.38,0.38,false
152,end_device_ids.device_id,0.6428571428571429,0,0.296875,0.42,0.41,0.41,0.40,0.40,0.41,0.42,0.40,0.42,0.40,0.41,0.40,0.41,0.41,0.40,0.40,0.41,0.39,0.42,0.41,0.41,0.40,0.41,0.41,0.41,10.19,0.41,false
153,end_device_ids.device_id,0.7142857142857143,0,0.298828125,0.39,0.39,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.37,0.38,0.38,0.39,9.60,0.38,false
154,end_device_ids.device_id,0.7857142857142857,0,0.30078125,0.38,0.37,0.37,0.37,0.36,0.36,0.37,0.37,0.37,0.36,0.37,0.36,0.37,0.38,0.37,0.37,0.38,0.36,0.38,0.38,0.38,0.36,0.38,0.37,0.37,9.26,0.37,false
155,end_device_ids.device_id,0.14285714285714285,0,0.302734375,0.44,0.46,0.44,0.45,0.45,0.44,0.45,0.44,0.44,0.43,0.46,0.46,0.45,0.45,0.45,0.46,0.46,0.45,0.44,0.48,0.45,0.46,0.46,0.46,0.45,11.28,0.45,false
156,end_device_ids.device_id,0.21428571428571427,0,0.3046875,0.46,0.47,0.46,0.49,0.46,0.45,0.46,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.45,0.48,0.45,0.46,0.45,0.46,0.46,0.48,0.45,0.48,0.46,11.58,0.46,false
157,end_device_ids.device_id,0.8571428571428571,0,0.306640625,0.56,0.55,0.56,0.56,0.57,0.54,0.56,0.56,0.56,0.57,0.55,0.54,0.57,0.55,0.54,0.55,0.55,0.55,0.55,0.57,0.55,0.56,0.56,0.55,0.57,13.90,0.56,false
158,end_device_ids.device_id,0.9285714285714286,0,0.30859375,0.38,0.37,0.38,0.40,0.38,0.37,0.37,0.38,0.39,0.38,0.37,0.37,0.39,0.40,0.39,0.38,0.39,0.38,0.39,0.39,0.37,0.37,0.39,0.39,0.38,9.55,0.38,false
159,end_device_ids.device_id,1,0,0.310546875,0.43,0.43,0.44,0.45,0.43,0.41,0.42,0.44,0.44,0.44,0.43,0.44,0.44,0.46,0.44,0.44,0.43,0.44,0.45,0.44,0.43,0.43,0.47,0.44,0.42,10.93,0.44,false
160,end_device_ids.device_id,0.42857142857142855,0,0.3125,0.48,0.49,0.47,0.48,0.47,0.49,0.48,0.48,0.46,0.46,0.47,0.49,0.48,0.47,0.47,0.49,0.48,0.46,0.48,0.49,0.47,0.48,0.48,0.48,0.48,11.93,0.48,false
161,end_device_ids.device_id,0,0,0.314453125,0.61,0.63,0.62,0.61,0.61,0.61,0.61,0.64,0.61,0.64,0.63,0.61,0.62,0.63,0.60,0.62,0.61,0.61,0.60,0.64,0.62,0.61,0.60,0.59,0.62,15.40,0.62,false
162,end_device_ids.device_id,0.07142857142857142,0,0.31640625,0.52,0.54,0.54,0.52,0.53,0.53,0.52,0.53,0.52,0.54,0.52,0.52,0.54,0.54,0.51,0.52,0.52,0.55,0.54,0.55,0.52,0.52,0.54,0.54,0.52,13.24,0.53,false
163,end_device_ids.device_id,0.14285714285714285,0,0.318359375,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.46,0.47,0.47,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.51,0.49,11.88,0.48,false
164,end_device_ids.device_id,0.21428571428571427,0,0.3203125,0.46,0.45,0.45,0.47,0.43,0.44,0.45,0.45,0.45,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.44,0.45,0.44,0.46,0.45,0.45,0.46,11.25,0.45,false
165,end_device_ids.device_id,0.2857142857142857,0,0.322265625,0.40,0.39,0.40,0.39,0.39,0.39,0.39,0.38,0.40,0.39,0.40,0.39,0.39,0.39,0.38,0.38,0.40,0.40,0.40,0.38,0.40,0.38,0.39,0.40,0.38,9.78,0.39,false
166,end_device_ids.device_id,0.35714285714285715,0,0.32421875,0.38,0.38,0.39,0.38,0.36,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.38,9.39,0.38,false
167,end_device_ids.device_id,0.42857142857142855,0,0.326171875,0.46,0.47,0.46,0.47,0.46,0.45,0.48,0.47,0.47,0.46,0.46,0.48,0.47,0.46,0.47,0.48,0.46,0.45,0.45,0.47,0.47,0.48,0.47,0.47,0.49,11.68,0.47,false
168,end_device_ids.device_id,0.5,0,0.328125,0.49,0.50,0.49,0.51,0.51,0.52,0.49,0.50,0.50,0.50,0.50,0.50,0.49,0.52,0.49,0.51,0.49,0.51,0.51,0.50,0.49,0.51,0.51,0.50,0.50,12.54,0.50,false
169,end_device_ids.device_id,0.5714285714285714,0,0.330078125,0.38,0.36,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.37,0.36,0.38,0.38,0.37,9.31,0.37,false
170,end_device_ids.device_id,0.6428571428571429,0,0.33203125,0.40,0.39,0.39,0.39,0.38,0.41,0.40,0.40,0.40,0.38,0.40,0.39,0.39,0.38,0.39,0.40,0.39,0.40,0.40,0.39,0.39,0.40,0.39,0.40,0.41,9.86,0.39,false
