id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
88,0.4,0.024498886414253896,0.43,0.44,0.46,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.44,10.95,0.44,false
89,0,0.02477728285077951,0.47,0.47,0.46,0.45,0.45,0.44,0.48,0.46,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.48,0.46,0.48,0.46,0.46,0.47,0.46,0.45,0.47,0.46,11.53,0.46,false
90,0.06666666666666667,0.02505567928730512,0.49,0.49,0.48,0.48,0.45,0.47,0.48,0.48,0.45,0.46,0.47,0.47,0.47,0.46,0.47,0.48,0.46,0.47,0.47,0.47,0.48,0.47,0.49,0.47,0.47,11.80,0.47,false
91,0.13333333333333333,0.025334075723830736,0.48,0.47,0.48,0.46,0.47,0.46,0.47,0.48,0.48,0.48,0.47,0.46,0.48,0.48,0.48,0.48,0.46,0.46,0.48,0.48,0.49,0.47,0.49,0.47,0.48,11.86,0.47,false
92,0.2,0.025612472160356347,0.46,0.46,0.47,0.47,0.44,0.45,0.45,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.47,0.47,0.43,0.45,0.46,0.45,0.47,0.47,0.45,0.46,0.45,11.44,0.46,false
93,0.26666666666666666,0.02589086859688196,0.44,0.43,0.44,0.44,0.44,0.43,0.44,0.44,0.43,0.42,0.45,0.45,0.44,0.42,0.43,0.43,0.42,0.44,0.43,0.45,0.44,0.43,0.43,0.43,0.44,10.88,0.44,false
94,0.3333333333333333,0.026169265033407572,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.42,0.41,0.41,0.43,0.43,0.42,0.42,0.42,0.42,0.44,0.43,0.45,0.44,0.43,0.44,0.41,0.42,10.61,0.42,false
95,0.4,0.026447661469933183,0.43,0.44,0.45,0.43,0.43,0.43,0.44,0.45,0.44,0.45,0.44,0.44,0.43,0.44,0.45,0.44,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.43,0.44,11.00,0.44,false
96,0.4666666666666667,0.026726057906458798,0.41,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.41,0.40,0.41,0.42,0.41,0.41,0.42,0.40,0.41,0.41,0.42,0.42,0.42,0.41,0.41,0.40,0.41,10.24,0.41,false
97,0.5333333333333333,0.02700445434298441,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.40,0.41,0.41,0.41,0.43,0.41,0.42,0.42,0.42,0.42,0.41,0.42,10.35,0.41,false
98,0.9333333333333333,0.027282850779510023,0.46,0.45,0.44,0.44,0.44,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.46,0.43,0.45,0.44,0.45,0.46,0.45,0.47,0.44,0.46,0.47,0.44,0.46,11.29,0.45,false
99,0.6666666666666666,0.027561247216035634,0.43,0.44,0.43,0.44,0.44,0.44,0.46,0.44,0.45,0.44,0.45,0.43,0.44,0.43,0.43,0.44,0.44,0.45,0.43,0.46,0.43,0.44,0.44,0.43,0.46,11.01,0.44,false
100,0.7333333333333333,0.02783964365256125,0.43,0.43,0.43,0.44,0.42,0.43,0.44,0.42,0.43,0.42,0.44,0.43,0.43,0.42,0.42,0.42,0.43,0.45,0.43,0.45,0.42,0.43,0.43,0.42,0.44,10.75,0.43,false
101,0.13333333333333333,0.02811804008908686,0.44,0.43,0.45,0.44,0.43,0.42,0.44,0.44,0.43,0.44,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.43,0.46,0.44,0.45,0.43,0.44,10.91,0.44,false
102,0.2,0.02839643652561247,0.43,0.42,0.43,0.42,0.41,0.41,0.42,0.43,0.43,0.42,0.42,0.42,0.43,0.43,0.42,0.42,0.43,0.42,0.43,0.42,0.44,0.42,0.43,0.41,0.43,10.59,0.42,false
