month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
716,3.73,24.96,48.32,0
717,3.67,25,47.96,0
718,3.33,26.13,48.14,0
719,3.4,25.27,47.85,0
720,3.2,24.75,47.8,0
721,3.47,25.69,47.86,0
722,3.53,25.86,48.07,0
723,3.67,25.53,48,0
724,3.73,25.71,48.04,0
725,3.67,25.84,47.95,0
726,3.27,24.76,47.86,0
727,128.67,26.14,49.12,0
728,141.67,24.96,49.09,0
729,140.47,26.53,49.06,0
730,139.53,24.96,49.15,0
731,136.67,25.13,49.24,0
732,136.87,26.08,49.34,0
733,136.87,25.31,49.68,0
734,137.07,25.27,49.47,0
735,137.47,25.34,49.48,0
736,147.8,26.59,49.97,0
737,335.27,24.96,51.21,0
738,323.47,25.11,50.65,0
739,323,25.18,50.88,0
740,333.73,26.06,50.84,0
741,342,25.25,50.93,0
742,340.07,25.58,51.01,0
743,346.2,25.06,50.99,0
744,346.8,25.82,51.04,0
745,347,25.57,50.98,0
746,346.6,25.56,51.12,0
747,346.2,25.26,51.08,0
748,346.53,26.15,51.1,0
749,345.73,25.55,51.32,0
750,346.6,25.57,51.17,0
751,345.67,25.19,51.05,0
752,371.8,24.8,51.48,0
753,380.33,24.68,51.78,0
754,380.87,25.69,51.56,0
755,378.87,25.03,51.8,0
756,378.53,5.7,51.83,0
757,376.73,0.27,51.97,0
758,375.53,0.06,52.12,0
759,332.73,0,51.46,0
760,317.87,0,51.53,0
761,319.87,0,51.45,0
762,319.87,0,51.58,0
763,335.8,0,51.97,0
764,372.6,0,52.69,0
765,372.6,0,52.73,0
766,370.33,0,52.9,0
767,368.07,0,53.12,0
768,366.47,0,53.22,0
769,365.4,0,53.53,0
770,362.6,0,53.74,0
771,361.07,0,53.69,0
772,361.07,0,53.91,0
773,362.2,0,53.94,0
774,364.53,0,53.68,0
775,364.73,0,53.67,0
776,358.93,0,54.23,0
777,357.87,0,54.29,0
778,358.27,0,54.22,0
779,356.67,0,54.31,0
780,354.2,0,54.42,0
781,354.73,0,54.35,0
782,355.53,0,54.41,0
783,194.47,0,52.01,0
784,194.13,0,52.17,0
785,193.2,0,52.2,0
786,193.13,0,52.33,0
787,192,0,52.26,0
788,194.33,0,52.14,0
789,192.2,0,52.23,0
790,193.47,0,51.98,0
791,193.2,0,52.05,0
792,182.27,0,51.71,0
793,154.67,0,51.57,0
794,140.73,17.74,51.45,0
795,130.8,25.92,51.67,0
796,133.67,25.92,51.51,0
797,132.4,24.55,51.56,0
798,133.4,26.89,51.37,0
799,120.13,25.71,51.12,0
800,47.93,25.22,50.46,0
801,3.47,26.97,49.76,0
802,3.53,25.81,49.16,0
803,3.33,26.3,49.07,0
804,3.33,26.01,48.3,0
805,3.53,24.83,48.52,0
806,3.2,26.71,48.19,0
807,3.53,23.91,48.47,0
808,3.4,25.77,48.33,0
809,3.4,26.69,48.07,0
810,3.2,24.93,48.46,0
811,3.33,25.49,48.19,0
812,3.47,25.36,48.09,0
813,3.53,26.03,47.74,0
814,3.4,24.71,47.43,0
815,3.4,23.89,48.22,0
816,3.33,24.67,48.05,0
817,3.6,26.42,47.82,0
818,3.53,25.24,48.13,0
819,18.33,24.85,48.52,0
820,114,26.49,49.11,0
821,110.73,25.81,49.44,0
822,111.27,25.59,49.39,0
823,104.93,25.36,49.2,0
824,82.73,24.94,48.97,0
825,73.13,25.73,48.97,0
826,70.67,25.41,49.02,0
827,67.27,24.86,49.16,0
828,93.8,26.19,49.43,0
829,159.13,25.07,50.01,0
830,188.07,24.85,50.05,0
831,189.4,25.74,49.97,0
832,187.53,25.15,50.23,0
833,187.6,24.65,49.93,0
834,277.47,26.03,51.03,0
835,307.87,24.96,51.05,0
836,311.2,26.36,50.89,0
837,310.73,24.48,50.84,0
838,318.87,25.53,50.92,0
839,342.47,25.88,51.29,0
840,348.6,24.42,51.2,0
841,363.73,25.83,51.34,0
842,381.07,26,51.57,0
843,379.13,25.39,51.79,0
844,379.6,26.03,51.69,0
845,379.27,25.91,51.52,0
846,353,25.62,51.4,0
847,354.53,24.77,51.12,0
